,state,action,reward,next_state,distribution
143,"[-0.03357895463705063, -0.010389750823378563, 0.008721088990569115, 0.0007676404784433544, 0.001563349855132401, 0.07990884780883789, 0.1138194352388382, -0.03652537614107132, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",5,0.0,"[-0.03247930983509306, -0.009599794646021564, 0.013275582598433644, 0.0006034713492155674, 0.001563349846724904, 0.07837694544594229, 0.11310095975978335, -0.03506466115279583, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10049348324537277, 0.09180552512407303, 0.100797638297081, 0.10867428034543991, 0.10825520753860474, 0.10167868435382843, 0.09429541975259781, 0.09960010647773743, 0.09861428290605545, 0.09578544646501541]"
144,"[-0.03247930854558945, -0.009599794633686543, 0.01327558234333992, 0.0006034713587723672, 0.001563349855132401, 0.07837694883346558, 0.11310096085071564, -0.035064660012722015, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,-2.0,"[0.06778515212118297, -0.025349812981885655, 0.008678085771187227, 0.0026279908282251796, 0.002668483924672671, 0.09493866271174045, 0.11603896728695645, -0.020649852640038602, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10047116130590439, 0.09179218858480453, 0.10078558325767517, 0.108665332198143, 0.10827240347862244, 0.10166683793067932, 0.09429574012756348, 0.09960465133190155, 0.09862470626831055, 0.09582140296697617]"
145,"[0.06778515130281448, -0.0253498125821352, 0.00867808610200882, 0.0026279909070581198, 0.002668483881279826, 0.09493866562843323, 0.1160389706492424, -0.020649852231144905, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,-2.0,"[0.06709175236102904, -0.11824869614550337, 0.19253309569697574, 0.003817337228465334, 0.002669716307106107, 0.10256245425361277, 0.11665292769734958, -0.019557501674079658, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.10048022121191025, 0.0917615219950676, 0.1007932797074318, 0.1082800105214119, 0.10845225304365158, 0.10159702599048615, 0.09454672038555145, 0.09980257600545883, 0.09868013113737106, 0.09560628235340118]"
146,"[0.06709175556898117, -0.11824869364500046, 0.19253309071063995, 0.0038173373322933912, 0.002669716253876686, 0.10256245732307434, 0.11665292829275131, -0.01955750212073326, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[0.06833750356959634, -0.11799223444061013, 0.19388195440970968, 0.0017183134393183863, 0.20266975425230882, 0.09943372898822274, 0.11569822786206535, -0.017868425426334156, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09972529113292694, 0.09161894023418427, 0.10075461119413376, 0.10775727778673172, 0.10835530608892441, 0.10174041241407394, 0.09482449293136597, 0.10004440695047379, 0.09907316416501999, 0.09610609710216522]"
147,"[0.06833750009536743, -0.11799223721027374, 0.19388195872306824, 0.0017183134332299232, 0.20266975462436676, 0.09943372756242752, 0.11569822579622269, -0.01786842569708824, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,0.0,"[0.0674752024672376, -0.11797748873268254, 0.19644676746510203, 0.004499859064125644, 0.004469731086288675, 0.09916397004044662, 0.11498005556320579, -0.019525146549796202, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09910118579864502, 0.09141808748245239, 0.10136615484952927, 0.107738196849823, 0.10858315229415894, 0.10151232779026031, 0.09519554674625397, 0.10048980265855789, 0.09932664781808853, 0.0952688679099083]"
148,"[0.06747519969940186, -0.11797748506069183, 0.1964467614889145, 0.0044998591765761375, 0.004469730891287327, 0.0991639718413353, 0.1149800568819046, -0.01952514611184597, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",8,0.0,"[0.06834593144037893, -0.11728373215124321, 0.19969732574613452, 0.0029921155763599216, 0.2044697632867365, 0.09858517554677831, 0.11456629888700753, -0.0174514451214397, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09970685094594955, 0.09160400927066803, 0.10074752569198608, 0.10775720328092575, 0.10836601257324219, 0.10172703862190247, 0.09483347088098526, 0.10004857927560806, 0.09907923638820648, 0.09613008052110672]"
149,"[0.06834593415260315, -0.11728373169898987, 0.1996973305940628, 0.002992115681990981, 0.20446977019309998, 0.09858517348766327, 0.11456629633903503, -0.017451444640755653, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",4,2.0,"[0.06756307018639518, -0.1775016040529449, 0.3821156087712394, 0.004673124197988265, 0.204469794942999, 0.09724770574987163, 0.10287401066283913, -0.015557077305181743, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09908412396907806, 0.09139823913574219, 0.10137469321489334, 0.10773356258869171, 0.10859833657741547, 0.10148699581623077, 0.09518538415431976, 0.10049854218959808, 0.09934823960065842, 0.09529189765453339]"
150,"[0.06756307184696198, -0.1775016039609909, 0.38211560249328613, 0.00467312429100275, 0.20446979999542236, 0.09724770486354828, 0.10287401080131531, -0.015557077713310719, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",0,-2.0,"[0.1098564897287746, -0.19678330905434205, 0.3729962283114716, 0.01913910663093432, 0.20537147293335778, 0.10837983364525959, 0.10800176755338847, -0.01613741670479396, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09877483546733856, 0.0909813866019249, 0.10206683725118637, 0.10738164186477661, 0.10864845663309097, 0.10082756727933884, 0.09543260931968689, 0.1003894954919815, 0.09975726902484894, 0.0957399532198906]"
151,"[0.1098564863204956, -0.19678330421447754, 0.3729962408542633, 0.019139107316732407, 0.20537146925926208, 0.10837983340024948, 0.10800176858901978, -0.016137417405843735, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",2,-2.0,"[0.10814168776752098, -0.2011075070439423, 0.3618089657956274, 0.02211881532817017, 0.20544094944819857, 0.11549990367621184, 0.11270921870564421, -0.01611734375117968, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.09888803213834763, 0.09101727604866028, 0.101889967918396, 0.10724958032369614, 0.10862851142883301, 0.10097093135118484, 0.09550636261701584, 0.10048989206552505, 0.09979620575904846, 0.09556320309638977]"
152,"[0.10814169049263, -0.20110750198364258, 0.3618089556694031, 0.022118816152215004, 0.205440953373909, 0.11549990624189377, 0.11270921677350998, -0.016117343679070473, -0.010000013746321201, 0.10000009089708328, -0.025009281933307648]",9,-2.0,"[0.10525529408357581, -0.20287501567992994, 0.3601198110660926, 0.02944456011166885, 0.0055727952954898186, 0.12095098071426758, 0.11458060407894766, -0.018812441727252827, -0.01000001347042935, 0.1000000931350081, -0.025009281132740924]","[0.0989222377538681, 0.0910651832818985, 0.10184590518474579, 0.10725881159305573, 0.10858628153800964, 0.10104390233755112, 0.09549552947282791, 0.10050389915704727, 0.09980282932519913, 0.09547538310289383]"
