Format Version,1.23,Take Name,RightToLeft,Take Notes,,Capture Frame Rate,240,Export Frame Rate,240,Capture Start Time,2022-07-14 12.08.44.023 PM,Capture Start Frame,1070568,Total Frames in Take,2188,Total Exported Frames,2188,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.058333,0.131433,0.122547,0.771216,0.135565,0.08388,0.732018,0.109259,0.049181,0.802864,0.168908,0.009239,0.778922,-0.298672,0.624594,0.573325,-0.245815,0.563276,0.706504,-0.154496,0.266454,0.82434,-0.129358,0.257743,0.761423,0.067863,0.079003,0.962793,0.027473,0.087339,0.94786,0.017257,0.046421,0.946169,0.028432,0.135755,0.894388,-0.020326,0.116872,0.919196,-0.199932,0.543153,0.55084,-0.145503,0.344958,0.505894,0.094087,0.001552,0.527642,0.0963,0.001237,0.623055,0.170232,0.001835,0.521606,0.17337,0.00102,0.615956,-0.374761,0.421735,0.553203
15,0.0625,0.131434,0.122542,0.771225,0.13557,0.083877,0.73202,0.109265,0.049186,0.802863,0.168907,0.009238,0.778921,-0.298661,0.624592,0.573315,-0.245811,0.563266,0.706484,-0.154512,0.266444,0.824318,-0.12938,0.257733,0.7614,0.067825,0.078991,0.962792,0.027441,0.087323,0.94784,0.017237,0.046394,0.946151,0.02841,0.13574,0.894377,-0.020359,0.116846,0.919173,-0.199936,0.543137,0.550822,-0.145511,0.344942,0.505882,0.094091,0.001548,0.527649,0.096296,0.001252,0.623036,0.170235,0.001837,0.521605,0.173354,0.001036,0.615983,-0.374764,0.421738,0.553186
16,0.066667,0.131433,0.122542,0.77122,0.135564,0.083873,0.732024,0.10926,0.049187,0.802867,0.168905,0.009241,0.778919,-0.298641,0.624586,0.573294,-0.245746,0.563245,0.706443,-0.154534,0.266424,0.824293,-0.129393,0.257717,0.761376,0.06777,0.078965,0.962784,0.027404,0.0873,0.947836,0.017216,0.046376,0.946135,0.028387,0.135731,0.894372,-0.020419,0.116769,0.919101,-0.19994,0.543041,0.55078,-0.145526,0.344939,0.505872,0.094084,0.001546,0.52765,0.096302,0.001249,0.623035,0.170235,0.001836,0.521604,0.173349,0.001034,0.615982,-0.374764,0.421744,0.553167
17,0.070833,0.131435,0.122546,0.77122,0.135568,0.083879,0.732019,0.109262,0.049184,0.802865,0.168913,0.009245,0.778917,-0.298625,0.624585,0.573277,-0.245749,0.563241,0.706438,-0.154554,0.266409,0.824267,-0.129403,0.257705,0.761354,0.067729,0.07895,0.96278,0.027365,0.087285,0.947823,0.017193,0.046352,0.946112,0.028359,0.135718,0.894363,-0.020446,0.116741,0.91908,-0.199934,0.542992,0.550738,-0.145535,0.344931,0.505865,0.094088,0.001544,0.527651,0.096295,0.001229,0.623056,0.170233,0.001835,0.521602,0.173364,0.001019,0.615957,-0.374768,0.421746,0.553147
18,0.075,0.131432,0.122547,0.771219,0.135571,0.083877,0.732018,0.109264,0.049184,0.802862,0.168907,0.009243,0.77892,-0.298614,0.624588,0.573262,-0.245742,0.563228,0.706418,-0.154569,0.266394,0.824243,-0.129427,0.257683,0.761331,0.067688,0.07894,0.962776,0.027348,0.087262,0.947801,0.017189,0.046314,0.946084,0.028336,0.135691,0.894348,-0.020478,0.116716,0.919064,-0.199945,0.542979,0.550722,-0.145551,0.344914,0.50586,0.094089,0.001542,0.527653,0.096295,0.001234,0.623056,0.170233,0.001835,0.521601,0.173364,0.001017,0.615956,-0.374769,0.421752,0.553131
19,0.079167,0.131435,0.122541,0.771219,0.135557,0.08388,0.73202,0.109261,0.049185,0.802863,0.168905,0.00924,0.778918,-0.2986,0.624591,0.573247,-0.245741,0.563231,0.706402,-0.154588,0.266378,0.824214,-0.129438,0.257672,0.761295,0.067657,0.078935,0.962781,0.027301,0.087245,0.947792,0.017177,0.04628,0.946061,0.028321,0.135689,0.894341,-0.020499,0.116691,0.919036,-0.19994,0.542967,0.550712,-0.145562,0.344899,0.505848,0.094088,0.001541,0.527649,0.096296,0.00123,0.623051,0.170237,0.001835,0.521606,0.173364,0.001021,0.615957,-0.374765,0.4218,0.553053
20,0.083333,0.131434,0.122543,0.771217,0.135557,0.083881,0.732012,0.109263,0.049179,0.802859,0.168906,0.009244,0.778918,-0.298587,0.624586,0.573223,-0.245736,0.563217,0.706391,-0.154606,0.266362,0.824197,-0.129452,0.257649,0.761272,0.067619,0.078921,0.962769,0.027278,0.087229,0.947778,0.017158,0.046263,0.946046,0.028294,0.135674,0.894328,-0.020527,0.116677,0.919013,-0.199938,0.542965,0.550702,-0.145573,0.344883,0.505837,0.094084,0.001549,0.527645,0.096298,0.001245,0.623032,0.17024,0.001833,0.5216,0.17336,0.001019,0.615958,-0.374769,0.421802,0.553035
21,0.0875,0.131434,0.122543,0.771218,0.135566,0.083882,0.732017,0.109262,0.04918,0.802857,0.168908,0.009245,0.778914,-0.298575,0.624585,0.573211,-0.245733,0.563196,0.706363,-0.154731,0.266233,0.82401,-0.12947,0.257627,0.761247,0.067589,0.078909,0.96276,0.02725,0.087222,0.947759,0.01715,0.046226,0.946024,0.028274,0.135662,0.894306,-0.020551,0.116655,0.918993,-0.199936,0.54295,0.550685,-0.145588,0.34487,0.505831,0.094081,0.001544,0.527642,0.096296,0.001233,0.623054,0.170235,0.001831,0.521605,0.17336,0.001021,0.615956,-0.374771,0.421811,0.553015
22,0.091667,0.131432,0.122545,0.771214,0.135569,0.083876,0.732015,0.109255,0.049186,0.802865,0.168908,0.009242,0.778921,-0.298561,0.624582,0.573194,-0.245728,0.563208,0.70636,-0.154796,0.266306,0.823972,-0.129489,0.257614,0.761203,0.067554,0.078903,0.962752,0.027178,0.087207,0.94771,0.017144,0.046207,0.946001,0.028255,0.135655,0.894289,-0.020575,0.116636,0.918968,-0.199928,0.542951,0.550669,-0.145596,0.344852,0.505824,0.094078,0.001548,0.527649,0.096297,0.001233,0.62305,0.170236,0.001834,0.521599,0.173365,0.001021,0.615956,-0.374769,0.421811,0.553
23,0.095833,0.131436,0.122543,0.771223,0.135566,0.083876,0.732016,0.109255,0.049182,0.802861,0.168905,0.00924,0.77892,-0.298554,0.624589,0.573176,-0.245726,0.563184,0.706334,-0.154815,0.266285,0.823947,-0.12952,0.257585,0.761181,0.067528,0.078895,0.962741,0.027154,0.087197,0.947691,0.01712,0.046187,0.94598,0.028235,0.135634,0.894271,-0.020602,0.116621,0.91894,-0.199925,0.54294,0.550649,-0.145609,0.344838,0.505817,0.094081,0.001548,0.527642,0.096294,0.001242,0.623033,0.170231,0.001836,0.521603,0.173347,0.001018,0.615978,-0.374775,0.421814,0.552977
24,0.1,0.131435,0.122542,0.771218,0.135564,0.083876,0.732018,0.109263,0.049186,0.802862,0.168909,0.009247,0.778915,-0.298545,0.624584,0.573159,-0.24572,0.563178,0.706318,-0.154841,0.266266,0.82392,-0.12954,0.257559,0.761156,0.067497,0.078888,0.962724,0.027132,0.087183,0.947674,0.017122,0.046175,0.945956,0.028218,0.135629,0.894251,-0.020618,0.116599,0.918913,-0.199918,0.542937,0.550633,-0.145616,0.344826,0.505806,0.094081,0.00154,0.527644,0.096293,0.001231,0.623048,0.170234,0.001842,0.521599,0.173365,0.001021,0.615953,-0.374778,0.421822,0.55296
25,0.104167,0.131437,0.122543,0.771217,0.135573,0.083872,0.732014,0.109263,0.049185,0.802861,0.168908,0.009238,0.778919,-0.298532,0.624587,0.573141,-0.245723,0.563172,0.706301,-0.154864,0.266249,0.823901,-0.129562,0.257541,0.761128,0.067473,0.078877,0.96271,0.027104,0.087177,0.947657,0.017109,0.046145,0.945937,0.028197,0.135612,0.894225,-0.020654,0.116579,0.918875,-0.199923,0.542927,0.55062,-0.145614,0.344814,0.505792,0.094084,0.001543,0.527635,0.096302,0.001228,0.623046,0.170234,0.001833,0.521596,0.17336,0.000996,0.615954,-0.374784,0.421824,0.552948
26,0.108333,0.131437,0.122543,0.771216,0.135569,0.083873,0.732015,0.109264,0.049176,0.802861,0.168908,0.009246,0.778914,-0.298524,0.624585,0.573127,-0.245716,0.563163,0.706286,-0.154883,0.266232,0.823872,-0.129593,0.257502,0.761088,0.067451,0.078869,0.962694,0.027089,0.087167,0.947637,0.017096,0.046128,0.945906,0.028189,0.135599,0.894183,-0.02067,0.116558,0.918851,-0.199926,0.542918,0.550606,-0.145624,0.344797,0.505781,0.09408,0.001542,0.527641,0.096295,0.00124,0.623031,0.170234,0.001831,0.521597,0.173361,0.000999,0.615953,-0.374783,0.42183,0.552928
27,0.1125,0.131437,0.122538,0.771215,0.13557,0.08387,0.732014,0.109262,0.049177,0.802864,0.168909,0.009248,0.778915,-0.298514,0.624588,0.573109,-0.245716,0.563162,0.706269,-0.15491,0.266208,0.823853,-0.129628,0.257481,0.761056,0.067426,0.078869,0.962669,0.027076,0.087158,0.947611,0.017081,0.046118,0.945881,0.028169,0.135595,0.89416,-0.020692,0.116544,0.918828,-0.199924,0.542906,0.550593,-0.14564,0.344786,0.50578,0.094085,0.001544,0.527636,0.096302,0.001242,0.623029,0.170232,0.00183,0.521597,0.173363,0.001018,0.615955,-0.374788,0.421833,0.552906
28,0.116667,0.131436,0.12254,0.771217,0.135571,0.083871,0.732017,0.109264,0.04918,0.802865,0.168912,0.009241,0.778919,-0.298501,0.624587,0.573093,-0.245739,0.563076,0.706185,-0.154932,0.26619,0.823827,-0.12965,0.257463,0.761034,0.06742,0.078853,0.962629,0.027054,0.087126,0.947577,0.017074,0.046105,0.945854,0.028148,0.135575,0.89413,-0.02071,0.116531,0.918804,-0.199924,0.542903,0.550573,-0.14565,0.344767,0.505771,0.094083,0.001542,0.527641,0.0963,0.001227,0.623047,0.170237,0.001827,0.521597,0.173358,0.000994,0.615954,-0.374794,0.421838,0.552894
29,0.120833,0.131429,0.122545,0.77122,0.135568,0.083869,0.732017,0.109266,0.049178,0.802865,0.168908,0.009248,0.778918,-0.2985,0.624588,0.573078,-0.245737,0.563068,0.706165,-0.154957,0.26617,0.823804,-0.12968,0.257448,0.761001,0.067399,0.07885,0.962607,0.027034,0.08713,0.947556,0.017064,0.046084,0.945832,0.028129,0.135568,0.8941,-0.020699,0.116501,0.918729,-0.199933,0.542881,0.55056,-0.145668,0.344755,0.505766,0.094083,0.001544,0.527641,0.096294,0.00123,0.623045,0.170233,0.001821,0.521596,0.173359,0.001015,0.615949,-0.374798,0.421842,0.552871
30,0.125,0.131438,0.122541,0.771217,0.135574,0.083872,0.732016,0.10926,0.049179,0.802861,0.168911,0.009246,0.778921,-0.298485,0.624592,0.573053,-0.245736,0.563064,0.706151,-0.154975,0.266151,0.823788,-0.129712,0.257421,0.760982,0.067384,0.078842,0.962577,0.027029,0.08711,0.947532,0.017048,0.046082,0.945808,0.028114,0.135554,0.894076,-0.020708,0.11649,0.9187,-0.199953,0.542885,0.550436,-0.145675,0.344752,0.505758,0.09408,0.00154,0.527642,0.096299,0.001222,0.62305,0.170231,0.001825,0.521597,0.173365,0.001015,0.615956,-0.3748,0.421849,0.552846
31,0.129167,0.131437,0.12254,0.77122,0.135568,0.083871,0.732014,0.109263,0.049177,0.802858,0.168909,0.009238,0.77892,-0.298473,0.624598,0.573036,-0.245715,0.563062,0.70613,-0.154997,0.266142,0.823767,-0.129752,0.257405,0.76096,0.067384,0.078838,0.962549,0.027015,0.087109,0.94751,0.017041,0.046074,0.94578,0.028094,0.135538,0.894041,-0.02072,0.116479,0.918679,-0.199929,0.542869,0.550532,-0.145691,0.344739,0.505759,0.094077,0.001535,0.527647,0.096294,0.00123,0.62305,0.170231,0.001828,0.521599,0.173363,0.001012,0.615954,-0.374801,0.421857,0.552826
32,0.133333,0.131433,0.122539,0.77122,0.135568,0.08387,0.732013,0.109262,0.049179,0.802862,0.168908,0.009243,0.77892,-0.298468,0.624596,0.573016,-0.245711,0.563058,0.706113,-0.155013,0.266123,0.82375,-0.129778,0.257382,0.760934,0.067371,0.078836,0.962521,0.026998,0.087133,0.947417,0.017025,0.046071,0.945767,0.028085,0.135532,0.894005,-0.020738,0.116473,0.918657,-0.199948,0.542878,0.550407,-0.14569,0.34465,0.505723,0.094081,0.001538,0.527639,0.096291,0.001226,0.623048,0.170238,0.001831,0.521602,0.173363,0.001014,0.615953,-0.374811,0.421863,0.552802
